Browser,Creator,Cost (USD),Software license,Current layout engine,Latest release version
Amaya (discontinued),"W3C, INRIA",Free,W3C,custom,"11.4.4 (January 18, 2012; 8 years ago (2012-01-18)) [±]"
AOL Explorer (discontinued),"America Online, Inc",Free,Proprietary,Trident,"1.5 (May 10, 2006; 14 years ago (2006-05-10)) [±]"
Arora (discontinued),Benjamin C. Meyer,Free,GPL,WebKit,0.11.0[1] (27 September 2010; 9 years ago (2010-09-27)) [±]
Avant,Avant Force,Free,Proprietary,"Blink, Gecko, Trident","2020 build 3 (March 17, 2020; 5 months ago (2020-03-17)[2]) [±]"
Basilisk,Moonchild Productions,Free,MPL 2.0,Goanna,2020.06.10 (10 June 2020; 2 months ago (2020-06-10)[3]) [±]
Blisk,Blisk team,"Free (Limited),Paid (Unlimited Pro)",Proprietary,"Blink, V8","12.0.92.83 (June 29, 2019; 13 months ago (2019-06-29)[4]) [±]"
Brave,Brave Software Inc.,Free,MPL 2.0,Blink,"Android1.12.113 / August 13, 2020; 15 days ago (2020-08-13)[5]iOS1.19 / July 28, 2020; 31 days ago (2020-07-28)[6]macOS, Windows, Linux1.12.114 / August 19, 2020; 9 days ago (2020-08-19)[7]",Android,"1.12.113 / August 13, 2020; 15 days ago (2020-08-13)[5]",iOS,"1.19 / July 28, 2020; 31 days ago (2020-07-28)[6]","macOS, Windows, Linux","1.12.114 / August 19, 2020; 9 days ago (2020-08-19)[7]"
Android,"1.12.113 / August 13, 2020; 15 days ago (2020-08-13)[5]"
iOS,"1.19 / July 28, 2020; 31 days ago (2020-07-28)[6]"
"macOS, Windows, Linux","1.12.114 / August 19, 2020; 9 days ago (2020-08-19)[7]"
Camino (discontinued),The Camino Project,Free,MPL 1.1/GPL 2.0/LGPL 2.1 tri-license,Gecko,2.1.2 (14 March 2012; 8 years ago (2012-03-14)[8])
Cliqz,Cliqz GmbH,Free,MPL 2.0,Gecko,"Android1.9.7 / April 4, 2020; 4 months ago (2020-04-04)[9]iOS3.6.3 / June 30, 2020; 59 days ago (2020-06-30)[10]Desktop1.38.0 / July 22, 2020; 37 days ago (2020-07-22)[11]",Android,"1.9.7 / April 4, 2020; 4 months ago (2020-04-04)[9]",iOS,"3.6.3 / June 30, 2020; 59 days ago (2020-06-30)[10]",Desktop,"1.38.0 / July 22, 2020; 37 days ago (2020-07-22)[11]"
Android,"1.9.7 / April 4, 2020; 4 months ago (2020-04-04)[9]"
iOS,"3.6.3 / June 30, 2020; 59 days ago (2020-06-30)[10]"
Desktop,"1.38.0 / July 22, 2020; 37 days ago (2020-07-22)[11]"
