lastUpdated,text,title,url
" 25 June 2020, at 08:06","
,
,For the political term, see ,Benevolent dictatorship,.,
,Benevolent dictator for life, (,BDFL,) is a title given to a small number of ,open-source software development, leaders, typically project founders who retain the final say in disputes or arguments within the community. The phrase originated in 1995 with reference to ,Guido van Rossum,, creator of the ,Python programming language,.,[1],[2], Shortly after Van Rossum joined the ,Corporation for National Research Initiatives,, the term appeared in a follow-up mail by ,Ken Manheimer, to a meeting trying to create a semi-formal group that would oversee Python development and workshops; this initial use included an additional joke of naming Van Rossum the ""First Interim BDFL"".,[1], Van Rossum announced on July 12, 2018, that he would be stepping down as BDFL of Python.,[3],
,BDFL should not be confused with the more common term for open-source leaders, ""benevolent dictator"", which was popularized by ,Eric S. Raymond,'s essay "",Homesteading the Noosphere,"" (1999).,[4], Among other topics related to ,hacker culture,, Raymond elaborates on how the nature of open source forces the ""dictatorship"" to keep itself benevolent, since a strong disagreement can lead to the ,forking, of the project under the rule of new leaders.
,
,Referent candidates,[,edit,],
,

,
,Name
,
,Project
,
,Type
,
,Reference
,
,
,Sylvain Benner
,
,Spacemacs,
,
,Community-driven ,Emacs, distribution
,
,[5],
,
,
,Vitalik Buterin,
,
,Ethereum,
,
,Blockchain-based cryptocurrency
,
,[6],
,
,
,Dries Buytaert,
,
,Drupal,
,
,Content management framework
,
,[7],
,
,
,Evan Czaplicki
,
,Elm,
,
,Front-end web programming language
,
,[8],[9],
,
,
,David Heinemeier Hansson,
,
,Ruby on Rails,
,
,Web framework
,
,[10],
,
,
,Rich Hickey,
,
,Clojure,
,
,Programming language
,
,[11],
,
,
,Adrian Holovaty, ,and Jacob Kaplan-Moss
,
,Django,
,
,Web framework
,
,[12],
,
,
,Laurent Destailleur
,
,Dolibarr ERP CRM,
,
,Software suite for ,Enterprise Resource Planning, and ,Customer Relationship Management,
,
,[13],
,
,
,Francois Chollet
,
,Keras,
,
,Deep learning framework
,
,[14],
,
,
,Xavier Leroy,
,
,OCaml,
,
,Programming language
,
,[15],[16],
,
,
,Yukihiro Matsumoto (Matz),
,
,Ruby,
,
,Programming language
,
,[17],
,
,
,Wes McKinney,
,
,Pandas,
,
,Python data analysis library
,
,[18],
,
,
,Bram Moolenaar,
,
,Vim,
,
,Text editor
,
,[19],
,
,
,Matt Mullenweg, ,[a],
,
,WordPress,
,
,Content management framework
,
,[20],
,
,
,Martin Odersky,
,
,Scala,
,
,Programming language
,
,[21],
,
,
,Taylor Otwell
,
,Laravel,
,
,Web framework
,
,[22],[23],
,
,
,Theo de Raadt,
,
,OpenBSD,
,
,A ,Unix, operating system
,
,[24],
,
,
,Ton Roosendaal,[b],
,
,Blender,
,
,3D computer graphics software
,
,[25],
,
,
,Sébastien Ros
,
,Orchard Project,
,
,Content management system
,
,[26],
,
,
,Mark Shuttleworth,[c],
,
,Ubuntu,
,
,Linux, distribution
,
,[27],
,
,
,Don Syme,[d],
,
,F#,
,
,Programming language
,
,[28],
,
,
,Linus Torvalds,[e],
,
,Linux,
,
,Operating system kernel
,
,[10],[29],
,
,
,José Valim
,
,Elixir,
,
,Programming language
,
,[30],
,
,
,Pauli Virtanen
,
,SciPy,
,
,Python, library used for scientific and technical computing
,
,[31],[32],
,
,
,Patrick Volkerding,
,
,Slackware,
,
,GNU,/,Linux, distribution
,
,[33],
,
,
,Nathan Voxland
,
,Liquibase,
,
,Database schema management
,
,[34],
,
,
,Shaun Walker
,
,DotNetNuke,
,
,Web application framework
,
,[35],
,
,
,Larry Wall,
,
,Perl,
,
,Programming language
,
,[36],
,
,
,Jeremy Soller,[37],
,
,Redox,
,
,Operating system
,
,[38],
,
,
,Stephen Wolfram,[f],
,
,Wolfram Language,
,
,Programming Language
,
,[39],
,
,
,Eugen Rochko
,
,Mastodon,
,
,open source, decentralized social network
,
,[40],
,
,
,Dylan Araps
,
,KISS Linux
,
,a bare-bones ,Linux, distribution based on ,musl, libc and ,BusyBox,
,
,[41],
,
,
,Gavin Mendel-Gleason,[g],
,
,TerminusDB,
,
,Open-source graph database for knowledge graph representation
,
,[42],[43],
,
,Organizational Positions,[,edit,],
,
,
,^, ,Lead Developer at the WordPress Foundation,
,
,^, ,Chairman of the ,Blender Foundation,
,
,^, ,Until December 2009, CEO of ,Canonical Ltd,
,
,^, ,Technical Advisor at the ,F# Software Foundation,
,
,^, ,Sponsee of the ,Linux Foundation,. Also holds the trademark for Linux,
,
,^, ,CEO of ,Wolfram Research,
,
,^, ,CTO of ,TerminusDB,
,
,
,References,[,edit,],
,
,
,^ ,a, ,b, ,Guido van Rossum (July 31, 2008). ,""Origin of BDFL"",. Artima.com. ,Archived, from the original on July 21, 2012,. Retrieved ,August 1,, 2008,.,.mw-parser-output cite.citation{font-style:inherit}.mw-parser-output .citation q{quotes:""\""""""\""""""'""""'""}.mw-parser-output .id-lock-free a,.mw-parser-output .citation .cs1-lock-free a{background-image:url(""//upload.wikimedia.org/wikipedia/commons/thumb/6/65/Lock-green.svg/9px-Lock-green.svg.png"");background-image:linear-gradient(transparent,transparent),url(""//upload.wikimedia.org/wikipedia/commons/6/65/Lock-green.svg"");background-repeat:no-repeat;background-size:9px;background-position:right .1em center}.mw-parser-output .id-lock-limited a,.mw-parser-output .id-lock-registration a,.mw-parser-output .citation .cs1-lock-limited a,.mw-parser-output .citation .cs1-lock-registration a{background-image:url(""//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Lock-gray-alt-2.svg/9px-Lock-gray-alt-2.svg.png"");background-image:linear-gradient(transparent,transparent),url(""//upload.wikimedia.org/wikipedia/commons/d/d6/Lock-gray-alt-2.svg"");background-repeat:no-repeat;background-size:9px;background-position:right .1em center}.mw-parser-output .id-lock-subscription a,.mw-parser-output .citation .cs1-lock-subscription a{background-image:url(""//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lock-red-alt-2.svg/9px-Lock-red-alt-2.svg.png"");background-image:linear-gradient(transparent,transparent),url(""//upload.wikimedia.org/wikipedia/commons/a/aa/Lock-red-alt-2.svg"");background-repeat:no-repeat;background-size:9px;background-position:right .1em center}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration{color:#555}.mw-parser-output .cs1-subscription span,.mw-parser-output .cs1-registration span{border-bottom:1px dotted;cursor:help}.mw-parser-output .cs1-ws-icon a{background-image:url(""//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/12px-Wikisource-logo.svg.png"");background-image:linear-gradient(transparent,transparent),url(""//upload.wikimedia.org/wikipedia/commons/4/4c/Wikisource-logo.svg"");background-repeat:no-repeat;background-size:12px;background-position:right .1em center}.mw-parser-output code.cs1-code{color:inherit;background:inherit;border:inherit;padding:inherit}.mw-parser-output .cs1-hidden-error{display:none;font-size:100%}.mw-parser-output .cs1-visible-error{font-size:100%}.mw-parser-output .cs1-maint{display:none;color:#33aa33;margin-left:0.3em}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration,.mw-parser-output .cs1-format{font-size:95%}.mw-parser-output .cs1-kern-left,.mw-parser-output .cs1-kern-wl-left{padding-left:0.2em}.mw-parser-output .cs1-kern-right,.mw-parser-output .cs1-kern-wl-right{padding-right:0.2em}.mw-parser-output .citation .mw-selflink{font-weight:inherit},
,
,^, ,""Python Creator Scripts Inside Google"",. ,eWeek,. March 6, 2006. ,Archived, from the original on August 9, 2018,. Retrieved ,May 13,, 2008,.,
,
,^, ,Van Rossum, Guido (July 12, 2018). ,""Transfer of power"",. ,mail.python.org,. ,Archived, from the original on July 12, 2018,. Retrieved ,August 9,, 2018,.,
,
,^, ,Eric S. Raymond (2000). ,""Homesteading the Noosphere § Project Structures and Ownership"",. ,Eric S. Raymond's Home Page,. ,Archived, from the original on July 1, 2012,. Retrieved ,August 1,, 2008,.,
,
,^, ,""Spacemacs COMMUNITY.org"",. Retrieved ,August 24,, 2017,.,
,
,^, ,"",Ethereum's Boy King Is Thinking About Giving Up the Mantle,"",
,
,^, ,Randy Fay, "",How Do Open Source Communities Govern Themselves?,"",
,
,^, ,""56: Ember vs. Elm: The Showdown with Philip Poots | The Frontside Podcast"",. ,The Frontside Podcast,. Archived from ,the original, on November 16, 2018,. Retrieved ,August 14,, 2017,.,
,
,^, ,elm-conf (September 19, 2016), ,""Code is the Easy Part"" by Evan Czaplicki,, retrieved ,August 14,, 2017,
,
,^ ,a, ,b, ,Constine, Josh (December 7, 2012). ,""Dropbox Hires Away Google's Guido Van Rossum, The Father Of Python"",. TechCrunch,. Retrieved ,June 1,, 2015,.,
,
,^, ,""Clojure JIRA Workflow"",. Archived from ,the original, on November 13, 2015,. Retrieved ,October 3,, 2015,.,
,
,^, ,""Adrian and Jacob retiring as Django BDFLs"",. Adrian Holovaty. January 12, 2014,. Retrieved ,June 14,, 2015,.,
,
,^, ,""Dolibarr project organization, different roles of actors"",.,
,
,^, ,""Keras API Special Interest Group, Leadership"",.,
,
,^, ,""A History of OCaml | OCaml.org"",. Retrieved ,September 18,, 2015,.,
,
,^, ,""OCaml Infrastructure mailing list"",. Retrieved ,September 18,, 2015,.,
,
,^, ,""A Ruby Design Process"",. Retrieved ,April 17,, 2016,.,
,
,^, ,""pandas 0.20.3 documentation: Tutorials"",. Retrieved ,July 24,, 2017,., ""Wes McKinney's (pandas BDFL) blog"",
,
,^, ,""Why Neovim is Better than Vim"",. Retrieved ,September 30,, 2015,.,
,
,^, ,""Thesis, Automattic, and WordPress | Post Status"",. Retrieved ,July 24,, 2015,.,
,
,^, ,""Programming in Scala Leaps onto the World Stage!"",. Retrieved ,November 25,, 2015,.,
,
,^, ,""Taylor Otwell, Twitter"",. Taylor Otwell. October 9, 2014,. Retrieved ,October 9,, 2014,.,
,
,^, ,""Taylor Otwell, Creator of the Laravel PHP Framework"",. August 5, 2014,. Retrieved ,August 5,, 2014,.,
,
,^, ,Hildebrand, Matthew (July 5, 2005). ,""Interview: Theo de Raadt on Industry and Free Software"",. ,The Epoch Times,. The Epoch Times. Archived from ,the original, on June 21, 2015,. Retrieved ,June 20,, 2015,.,
,
,^, ,""Developer Intro/Overview"",. Retrieved ,July 20,, 2018,.,
,
,^, ,""Orchard Project Steering Committee"",. Archived from ,the original, on August 12, 2015.,
,
,^, ,""Ubuntu carves niche in Linux landscape"",. ,CNET,. Archived from ,the original, on November 6, 2015.,
,
,^, ,""Contributing to the F# Language and Compiler"",. Retrieved ,September 29,, 2015,.,
,
,^, ,Dee-Ann LeBlanc (July 31, 2006). ,Linux For Dummies, (7th ed.). John Wiley & Sons. p. 15. ,ISBN, ,978-0-470-04793-4,.,
,
,^, ,""Elixir Companies"",. Retrieved ,November 1,, 2017,.,
,
,^, ,""SciPy 1.0.0"",. Retrieved ,October 27,, 2017,.,
,
,^, ,""SciPy project governance"",. Retrieved ,October 27,, 2017,.,
,
,^, ,""Stories of Linux: A Look at Slackware Linux"",. ,linux.com,. Archived from ,the original, on October 30, 2014,. Retrieved ,September 21,, 2014,.,
,
,^, ,""User and Developer Community | Post Status"",. Retrieved ,August 13,, 2015,.,
,
,^, ,Book: Building Websites with DotNetNuke 5, Michael Washington and Ian Lackey, Packt Publishing. Page 14 ""The core team comprises individuals invited to join the team by Shaun Walker, whom they affectionately call the ""Benevolent Dictator""."",
,
,^, ,""The Art of Ballistic Programming"",. Archived from ,the original, on June 17, 2013.,
,
,^, ,https://gitlab.redox-os.org/jackpot51,
,
,^, ,""CONTRIBUTING.md · master · redox-os / redox"",.,
,
,^, ,""Wolfram Language (Mathematica) vs. Python for Data Science Projects"",.,
,
,^, ,""Mastodon is crumbling—and many blame its creator"",.,
,
,^, ,""KISS team"",.,
,
,^, ,""TerminusDB, Twitter"",. May 6, 2020,. Retrieved ,May 6,, 2020,.,
,
,^, ,""TerminusDB — what's in a name?"",. TerminusDB. August 21, 2019,. Retrieved ,May 8,, 2020,.,
,
,
,
,
,
,

,
,
,Retrieved from "",https://en.wikipedia.org/w/index.php?title=Benevolent_dictator_for_life&oldid=964397725,""",Benevolent dictator for life,https://en.wikipedia.org/wiki/Benevolent_dictator_for_life
" 16 May 2020, at 00:48","Orchard,Orchard 1.4 ,Dashboard,Developer(s),.NET Foundation,Initial release,January 2011,; 9 years ago, (,2011-01,),Stable release,1.10.3,[1],
   / 2019-02-28,[±],
,Repository,github,.com,/OrchardCMS,/Orchardcore,Written in,ASP.NET,Operating system,Microsoft Windows,Type,Content management framework,, ,Content management system,, ,Community, and ,Blog software,License,New BSD License,Website,orchardproject,.net,
,Orchard, is a ,free, open source,, community-focused ,content management system, written in ,ASP.NET, platform using the ,ASP.NET MVC, framework. Its vision is to create shared components for building ASP.NET applications and extensions, and specific applications that leverage these components to meet the needs of end-users, scripters, and developers. 
,Orchard is delivered as part of the ASP.NET Open Source Gallery under the ,.NET Foundation,. It is licensed under a ,New BSD license,, which is approved by the ,Open Source Initiative, (OSI). The predecessor of Orchard was ,Microsoft Oxite,.
,
,Project status,[,edit,],
,Orchard is currently in active community-driven development. The project includes an extensibility model for both modules and themes, a dynamic content type system, ease of customization, localization and more.
,Although several of primary developers work for ,Microsoft,, it is no longer an officially developed Microsoft product, and is under the auspices of the .NET Foundation.
,The project is managed by the ,Orchard Steering Committee,, based on a ,published governance model,. Steering Committee members are elected by the community annually.
,
,References,[,edit,],
,
,
,^, ,""Orchard 1.10.3 Release Notes"",. orchardproject.net,. Retrieved ,2019-06-29,.,.mw-parser-output cite.citation{font-style:inherit}.mw-parser-output .citation q{quotes:""\""""""\""""""'""""'""}.mw-parser-output .id-lock-free a,.mw-parser-output .citation .cs1-lock-free a{background-image:url(""//upload.wikimedia.org/wikipedia/commons/thumb/6/65/Lock-green.svg/9px-Lock-green.svg.png"");background-image:linear-gradient(transparent,transparent),url(""//upload.wikimedia.org/wikipedia/commons/6/65/Lock-green.svg"");background-repeat:no-repeat;background-size:9px;background-position:right .1em center}.mw-parser-output .id-lock-limited a,.mw-parser-output .id-lock-registration a,.mw-parser-output .citation .cs1-lock-limited a,.mw-parser-output .citation .cs1-lock-registration a{background-image:url(""//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Lock-gray-alt-2.svg/9px-Lock-gray-alt-2.svg.png"");background-image:linear-gradient(transparent,transparent),url(""//upload.wikimedia.org/wikipedia/commons/d/d6/Lock-gray-alt-2.svg"");background-repeat:no-repeat;background-size:9px;background-position:right .1em center}.mw-parser-output .id-lock-subscription a,.mw-parser-output .citation .cs1-lock-subscription a{background-image:url(""//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lock-red-alt-2.svg/9px-Lock-red-alt-2.svg.png"");background-image:linear-gradient(transparent,transparent),url(""//upload.wikimedia.org/wikipedia/commons/a/aa/Lock-red-alt-2.svg"");background-repeat:no-repeat;background-size:9px;background-position:right .1em center}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration{color:#555}.mw-parser-output .cs1-subscription span,.mw-parser-output .cs1-registration span{border-bottom:1px dotted;cursor:help}.mw-parser-output .cs1-ws-icon a{background-image:url(""//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/12px-Wikisource-logo.svg.png"");background-image:linear-gradient(transparent,transparent),url(""//upload.wikimedia.org/wikipedia/commons/4/4c/Wikisource-logo.svg"");background-repeat:no-repeat;background-size:12px;background-position:right .1em center}.mw-parser-output code.cs1-code{color:inherit;background:inherit;border:inherit;padding:inherit}.mw-parser-output .cs1-hidden-error{display:none;font-size:100%}.mw-parser-output .cs1-visible-error{font-size:100%}.mw-parser-output .cs1-maint{display:none;color:#33aa33;margin-left:0.3em}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration,.mw-parser-output .cs1-format{font-size:95%}.mw-parser-output .cs1-kern-left,.mw-parser-output .cs1-kern-wl-left{padding-left:0.2em}.mw-parser-output .cs1-kern-right,.mw-parser-output .cs1-kern-wl-right{padding-right:0.2em}.mw-parser-output .citation .mw-selflink{font-weight:inherit},
,
,
,External links,[,edit,],
,.mw-parser-output .portal{border:solid #aaa 1px;padding:0}.mw-parser-output .portal.tleft{margin:0.5em 1em 0.5em 0}.mw-parser-output .portal.tright{margin:0.5em 0 0.5em 1em}.mw-parser-output .portal>ul{display:table;box-sizing:border-box;padding:0.1em;max-width:175px;background:#f9f9f9;font-size:85%;line-height:110%;font-style:italic;font-weight:bold}.mw-parser-output .portal>ul>li{display:table-row}.mw-parser-output .portal>ul>li>span:first-child{display:table-cell;padding:0.2em;vertical-align:middle;text-align:center}.mw-parser-output .portal>ul>li>span:last-child{display:table-cell;padding:0.2em 0.2em 0.2em 0.3em;vertical-align:middle},
,
,Free and open-source software portal,
,Official website,
,Orchard Themes and Modules Gallery,
,Orchard: Microsoft's open-source CMS platform is (re)born,
,Why You Should Pay Attention to the Development of Orchard CMS,
,Boston Orchard CMS User Group,
,This ,content management system, article is a ,stub,. You can help Wikipedia by ,expanding it,.,v,t,e,
,
,

,
,
,Retrieved from "",https://en.wikipedia.org/w/index.php?title=Orchard_Project&oldid=956915363,""",Orchard Project,https://en.wikipedia.org/wiki/Orchard_Project
